"","unlist.questions."
"2573","회사생활에서 가장 중요시하는 것은 무엇인가"
"2574","나이가 많은 편인데, 그렇다면 인턴이 아니라 공채에 지원해야 하지 않을까요?"
"2575","좋은 상사란 무엇이라고 생각하나요?"
"2576","지원동기는 무엇인가요?"
"2577","하얀 장갑을 착용하고 오셨는데, 특별히 이유가 있나요?"
"2578","인턴 경험이 앞으로 어떻게 도움이 될 거라고 생각하나요?"
"2579","주량이 어떻게 되나요?"
"2580","지방 근무에 대해 어떻게 생각하는 편인가요?"
"2581","한국토지주택공사 지원동기를 말해주세요."
"2582","한국토지주택공사에 대해 알고 있는 것을 모두 말해주세요."
"2583","LH가 부채가 있더라도 공익을 우선해야 한다고 생각하나요?"
"2584","삶에 있어서 무엇을 중요하게 생각하는지?"
"2585","LH에 지원한 동기는?"
"2586","인턴직무수행 중 업무과 무관한 일을 시켜도 기분나빠하지않고 잘 수행할 것인가?"
"2587","1분 자기소개와 마지막 할말은?"
"2588","cj제일제당에 궁금한점이 있나요?"
"2589","1분 자기소개와 마지막 할말을 해보세요."
"2590","cj제일제당에 궁금한점은?"
"2591","자기소개를 해주세요."
"2592","본인이 이 회사에서 20년 뒤에는 뭐가 되고 싶습니까?"
"2593","지금 코로나19 상황에서 제일제당이 어떻게 나아가야 할까요?"
"2594","CJ제일제당에서 명절(설날) 세트를 만들 때 왜 햇반은 패키지에 포함하지 않을까요?"
"2595","아무도 성공할 수 없다고 말하는 이상적인 목표와, 누구나 고개를 끄덕이는 현실적인 목표중 어떤 목표를 선택하고 싶은가요?"
"2596","다양한 아르바이트를 경험했는데, 혹시 특별한 이유가 있을까요?"
"2597","Food Sales 직무가 어떤 일을 하는 분야라고 생각하세요?"
"2598","아르바이트 경력이 많은데, 왜 하였어요?"
"2599","Food Sales 직무 수행에 있어서 가장 중요한 역량은 무엇이라고 생각하세요?"
"2600","왜 대형마트를 선택했는가?"
"2601","제과업계에서 인턴으로 어떤 업무를 했는가?"
"2602","마지막으로 하고 싶은 말은?"
"2603","(PT질문)활성화 방안에 대해 이런 의견을 냈는데, 그럼 단가가 얼마이고 어떤 소비자층이 구매를 할 것 같나요?"
"2604","(PT질문)그렇다면 해당 매장에 어떤 소비자가 올 것인지 어떻게 아나요? 해당 매장을 방문해 봤나요?"
"2605","단체 내에서 갈등을 해결한 경험이 있는가?"
"2606","자기소개를 해보세요."
"2607","다른 사람들이 본인을 어떻게 평가하나요?"
"2608","싫어하는 사람의 유형을 말해보세요."
"2609","중국에 다녀왔는데 중국어 실력이 어느정도인가요?"
"2610","CJ제일제당에 지원한 이유를 말해보세요."
"2611","본인이 어떠한 인재가 될 수 있는지 말해보세요."
"2612","가족사항에 대해 말해보세요."
"2613","어떻게 지원하게 되었나요?"
"2614","어느 공장에서 무엇을 생산하는지 말해보세요."
"2615","일하면서 가장 힘들었던 곳은?"
"2616","이 회사에 들어오면 가장 자신 있는것은 ?"
"2617","픔질관리가 더 적합한 것 같은데 왜 생산을 지원했나요?"
"2618","제일제당에서 SCM이 무슨 일을 하는지 아는데로 이야기 해보세요."
"2619","예전 인턴/해외 경험에 대해 상세히 얘기해주세요."
"2620","왜 제일제당에 지원하였고 꼭 입사해야하는 이유를 말해주세요."
"2621","개인 발표시간에 발표한 아이디어가 참신했는데 왜 본인의 아이디어로 팀 프로젝트를 진행하자 주장하지 않았는지?"
"2622","학창시절 어려웠던 경험은?"
"2623","생각하는 이미지와 실제 업무가 다르다면?"
"2624","친한 친구가 있다면 소개 해보세요."
"2625","우리 회사 제품과 경쟁사 제품을 비교하여 베스트와 워스트를 하나씩 꼽고, 이유를 말해보세요."
"2626","성과를 잘 내고 있는데 갑자기 지방으로 발령났다. 어떻게 할건가요?"
"2627","마지막으로 준비했는데 못한 말 하세요."
"2628","어느 공장에서 근무하고 싶어요?"
"2629","왜 CJ제일제당을 선택했는지?"
"2630","해당 직무 수행하는데 있어서 전공이 무슨 관련이 있는지?"
"2631","평상시에 운동을 많이 하는편인가?"
"2632","교대근무에 대해서 어떻게 생각하는가?"
"2633","이전 회사에서는 무슨 업무를 하였는가?"
"2634","친구들 사이에서 어떤 역할인지?"
"2635","만약에 다른 직무로 배정받는다면 일할 수 있는지?"
"2636","CJ제일제당의 장단점에 대해서?"
"2637","영업에 본인이 왜 적합한지?"
"2638","본인의 단점은?"
"2639","마지막 할말?"
"2640","자신의 장단점이 무엇인가?"
"2641","팀워크가 중요하다고 생각하는가?"
"2642","이루고 싶은 목표가 있나?"
"2643","학창시절 아르바이트로 얼마까지 모아봤나요?"
"2644","성격의 단점을 말해보세요."
"2645","Cj제일제당에서 만드는 제품이 무엇이 있나요?"
"2646","우리회사 지원한 동기가 무엇입니까?"
"2647","교대근무라서 힘들 수도 있는데 잘 할수 있나요?"
"2648","취미가 무엇입니까?"
"2649","1. 여러 매장이 있는데 그 매장을 간 이유는?"
"2650","2. 자사 제품의 마케팅 강점은 어디에 있는가?"
"2651","3. 자사 제품 이외에 어떤 제품이 가장 눈에 들어오는가?"
"2652","CJ제일제당 SCM 팀에서 무슨 일을 하는지 알고 있는가?"
"2653","OO자격증은 왜 취득했나? 그 자격증이 SCM에 도움이 될 것이라고 생각하는가?"
"2654","자신의 약점이 뭐라고 생각하는가?"
"2655","1. 우리 상품을 판매하는 여사님 판매 실력이 우수한데, 타사 상품을 판매하는 여사님과 싸움이 났다고 매장 담당자가 우리 쪽 여사님을 바꿔달라고 합니다. 매장 영업 담당자인 당신은 어떻게 하겠습니까?"
"2656","2. 자소서를 보니 XXX 씨는 정직과 지극함을 중시하는 것 같다. 당신이 담당한 매장은 경쟁매장보다 매출이 떨어져서 매장 담당자는 매출 증대가 최우선입니다. 그럼에도 당신은 우리 제품을 입점시켜야 합니다. 어떻게 하겠습니까?"
"2657","3. 전공이 사학과인데 왜 이 직군에 지원했나요?"
"2658","4. 자소서에 FS 매니저라는 단어를 썼는데, 특별한 뜻이 있는 겁니까?"
"2659","5. 우리 회사 제품을 아는 대로 이야기 해보세요."
"2660","공무에 지원했는데, 생산 직무로 보내면 어떻게 할 것인가?"
"2661","본인의 토익점수가 높다고 생각하나?"
"2662","자기소개해보시오."
"2663","살면서 누군가와 싸워 본 경험이 있나요?"
"2664","입사하게 된다면 목표가 무엇인가요?"
"2665","제일제당에 지원한 이유가 무엇인가요?"
"2666","산업기능요원을 하면서 어떤 경험을 하였나요?"
"2667","식품 산업에 지원한 이유는 무엇인가?"
"2668","식품영업직에 지원한 이유는 무엇인가?"
"2669","애용하는 제품을 이야기 해봐라. 애용하는 제품의 가격은 얼마인가?"
"2670","옆에 지원자 PT 내용 들었나? 어떤 부분이 괜잖았나?"
"2671","CJ란 어떤 기업인가?"
"2672","CJ의 가장 큰 경쟁사는 어디인가?"
"2673","CJ제일제당 제품이 잘 안 팔릴 때 어떻게 할 것인가?"
"2674","CJ제일제당에 지원한 이유는 무엇인가?"
"2675","자신의 장단점에 대해 이야기해보시오."
"2676","1분 자기소개해보시오."
"2677","마지막으로 하고 싶은 말은 무엇인가?"
"2678","본인의 전공이 품질관리 직무에 어떤 도움이 될 수 있을지 말해보시오."
"2679","자신만의 강점은 무엇인가?"
"2680","지원동기를 말해보시오."
"2681","CJ제일제당의 공장 위치는 어디인가?"
"2682","CJ제일제당의 창립기념일은 언제인가?"
"2683","마케팅이 무엇이라고 생각하는가?"
"2684","문제가 일어났을 때 해결하는 방법에 대해 말해보시오."
"2685","자신의 강점과 약점은 무엇인가?"
"2686","자신의 장단점은 무엇인가?"
"2687","자신의 특별한 경험에 대해 이야기해보시오."
"2688","그동안 살면서 누군가와 싸워 본 경험이 있는가?"
"2689","담당하는 매장에서 일 잘하고 로얄티가 높은 여사원이 실수로 손님에게 기름을 튀겨 다쳤다. 매장 담당자가 화가 나서 이 여사원을 해고하려고 하는데, 어떻게 하겠나?"
"2690","마지막으로 하고 싶은 말이 있는가?"
"2691","자기소개해보시오."
"2692","CJ제일제당 제품 중 안 좋게 생각하는 제품은 무엇이며, 그것을 해결하는 방안에 대해 말해보시오."
"2693","앞선 질문 내용에서 제대로 답하지 못하였거나 추가적으로 말하고 싶은 것이 있는가?"
"2694","직무의 하루 일과에 대해 설명해보시오."
"2695","1분 자기소개해보시오."
"2696","지원자가 현재 보유하고 있는 자격증들이 있는데, 지원자가 다른 자격증들 중에서도 왜 그 자격증들을 선택했는지 이유를 말해보시오."
"2697","경력이 많은 생산직 직원과 대졸 사원이지만 경력이 없는 자신과 트러블이 날 경우 어떻게 할 것인가?"
"2698","매출 향상을 위한 방안을 PT 발표하시오."
"2699","생산기술이란 무엇인가?"
"2700","왜 화학공학과에 갔는가?"
"2701","지역의 맛집을 추천해보시오."
"2702","지원동기는 무엇인가?"
"2703","지원자의 장단점에 대해 말해보시오."
"2704","해외 매출 비용을 늘리기 위한 제품을 선택하고, 그 이유를 설명하라."
"2705","햇반 컵반 외 2가지 제품 중 하나를 선택해서 MCN을 이용해 프로모션하는 방안에 대해 말해보시오."
"2706","CJ제일제당에 비추천하는 식품은?"
"2707","본인이 맡고 싶은 제일제당의 제품은?"
"2708","2지망으로 식품 마케팅을 지원했는데, 마케팅과 식품 마케팅의 차이를 아시나요? 식품 마케팅에서 일한다면 어떤 브랜드를 담당하고 싶은가요?"
"2709","조직에서 갈등을 겪고 극복한 경험은 무엇이며, 향후 본인이 담당하고 싶은 브랜드가 있나요?"
"2710","조직의 리더가 되어본 적이 있나요?"
"2711","CJ제일제당 상품의 인터넷 구매 활성화 방안에 대해 각자의 의견을 말해보세요."
"2712","물류 직무에 본인이 적합하다고 생각하는 이유가 뭔가요?"
"2713","CJ제일제당 물류에 지원한 이유가 뭔가요?"
"2714","여자로서 영업직의 강점과 약점에 대해 말하라."
"2715","무언가에 열정을 쏟은 경험이 있는가?"
"2716","푸드세일즈가 정확히 무슨 일을 하는지 알고 있나요? 그리고 혹시 CJ제일제당에 근무 중인 지인이 있나요?"
"2717","가장 최근에 읽었던 책은 무엇입니까?"
"2718","본인이 졸업한 학과가 제약영업이랑 전혀 관련 없는 것 같은데, 왜 제약영업에 지원하였나요?"
"2719","제약영업 직무를 지원한 동기는 무엇입니까?"
"2720","CJ헬스케어에 대해 아는 것을 모두 말해보세요."
"2721","ETC영업과 OTC영업의 차이에 대해 알고 있나요?"
"2722","마지막으로 하고 싶은 말이 있다면 해보세요."
"2723","본인이 하고 싶은 연구가 있다고 했는데, 실제로는 그 연구를 하지 않는 부서에 배치될 수도 있습니다. 그래도 괜찮은가요?"
"2724","자신의 강점을 말해주세요."
"2725","전공을 공부하면서, 직무를 수행하기 위해 어떤 역량과 지식을 습득하였나요?"
"2726","초임계유체 추출법에 대해 설명해보세요."
"2727","현장과 실험실 업무 중 자신은 어느 쪽이 더 맞다고 생각하나요?"
"2728","현장실습을 다녀왔다고 했는데, 느낀 점은 무엇인가요?"
"2729","CJ제일제당의 경쟁사가 어디라고 생각하나요?"
"2730","마지막으로 하고 싶은 말이 있다면 해보세요."
"2731","만약 의사가 약을 사지 않는다면 어떻게 행동할 것인가요?"
"2732","제너릭은 약이 다 똑같은데, 어떻게 팔 것인가요?"
"2733","지원동기를 말해주세요."
"2734","리더십을 발휘해 본 경험이 있나요?"
"2735","아르바이트를 할 때 특별히 기억에 남는 손님이 있었나요?"
"2736","CJ그룹이기 때문에 지원한 것인지, 식품업에 관심이 있어서 지원한 것인지 궁금합니다."
"2737","CJ제일제당의 식품을 본인과 비교해서 한 번 표현해보세요."
"2738","인생에서의 꿈은 무엇이며, 다른 직무는 생각하지 않고 오로지 영업 직무로서의 커리어를 지속하고 싶은가요?"
"2739","직무를 수행하는 데 있어 본인의 아르바이트 경험을 어떻게 활용할 것인가요?"
"2740","친구들이 평소에 지원자에 대해 어떻게 표현하나요?"
"2741","타 기업에 지원하였나요?"
"2742","2지망을 왜 그 직무로 선택했나요?"
"2743","만약 근무를 하게 된다면 어느 지역이든 상관없이 일 할 수 있나요?"
"2744","무언가를 끈기있게 했던 경험이 있다면 말해보세요."
"2745","왜 지원자가 졸업한 그 전공을 선택했나요?"
"2746","외국 경험이 많은데, 외국에서의 경험과 느낀 점은 무엇인가요?"
"2747","자기소개서에 수업에서 진행한 프로젝트 내용이 있던데, 자세히 말해줄 수 있나요?"
